Item,Parent,2011-12,2012-13,2013-14,2010-11
Defence Science and Technology,Military Capability,0,481000000,462000000,0
Defence People,Military Capability,0,355000000,452000000,0
Chief Information Officer,Military Capability,0,986000000,987000000,0
Defence Support,Military Capability,0,3949000000,4081000000,0
Intelligence Capabilities,Military Capability,0,519000000,538000000,0
Air Force Capabilities,Military Capability,0,4403000000,4488000000,0
Army Capabilities,Military Capability,0,5184000000,5500000000,0
Navy Capabilities,Military Capability,0,4426000000,4581000000,0
Office of the Secretary and CDF,Military Capability,0,143000000,164000000,0
Finance & Deregulation,Expenses,0,11201000000,10512000000,0
Future Fund Management Agency,Finance & Deregulation,0,44000000,47000000,0
ComSuper,Finance & Deregulation,0,80000000,80000000,0
Commonwealth Superannuation Corporation,Finance & Deregulation,0,7000000,7000000,0
Australian Electoral Commission,Finance & Deregulation,0,140000000,380000000,0
Education and Communication ,Australian Electoral Commission,0,19000000,18000000,0
Election Management and Support Services,Australian Electoral Commission,0,58000000,309000000,0
Electoral Roll Management ,Australian Electoral Commission,0,62000000,53000000,0
Ministerial and Parliamentary Services ,Finance & Deregulation,0,466000000,510000000,0
Administration and oversight of government enterprise,Finance & Deregulation,0,224000000,233000000,0
Insurance and Risk Management,Administration and oversight of government enterprise,0,84000000,98000000,0
Property and Construction ,Administration and oversight of government enterprise,0,82000000,86000000,0
Australian Government Business and ICT,Administration and oversight of government enterprise,0,57000000,48000000,0
"Policy Advice, implementation, and financial guidance",Finance & Deregulation,0,10237000000,9252000000,0
Nation Building Funds and DisabilityCare Australia Fund,"Policy Advice, implementation, and financial guidance",0,2040000000,1936000000,0
Health and Hospitals Fund,Nation Building Funds and DisabilityCare Australia Fund,0,717000000,715000000,0
Education Investment Fund,Nation Building Funds and DisabilityCare Australia Fund,0,426000000,266000000,0
Building Australia Fund,Nation Building Funds and DisabilityCare Australia Fund,0,896000000,953000000,0
Public Sector Superannuation ,"Policy Advice, implementation, and financial guidance",0,7975000000,7072000000,0
"Budget, Financial Management, Better Regulation and Procurement Framework","Policy Advice, implementation, and financial guidance",0,221000000,244000000,0
Other,"Budget, Financial Management, Better Regulation and Procurement Framework",0,5000000,13000000,0
Coordinated Procurement Contracting,"Budget, Financial Management, Better Regulation and Procurement Framework",0,94000000,117000000,0
Procurement Framework,"Budget, Financial Management, Better Regulation and Procurement Framework",0,9000000,9000000,0
Deregulation and Regulatory Reform ,"Budget, Financial Management, Better Regulation and Procurement Framework",0,12000000,12000000,0
Financial Framework ,"Budget, Financial Management, Better Regulation and Procurement Framework",0,23000000,22000000,0
